designation;m;h;b;tw;tf;r1;r2;b1;hw;beta;A;ac;ay;Ixx;Zex;rxx;Iyy;Zey;ryy;J;Cw
C76x38;6,7;76,2;38,1;5,1;6,8;7,6;2,4;16,5;45,8;95;0,855;23,3;11,9;0,743;19,5;29,5;0,107;4,09;11,2;12;0,085
C100x50;10,7;100;50;6;8,5;8,5;4,5;25,6;66;94,57;1,34;31,7;15,5;2,05;41;39,1;0,29;8,4;14,7;26,8;0,372
C120x55;13,5;120;55;7;9;9;4,5;27,5;84;94,57;1,7;32,7;16,1;3,64;60,7;46,3;0,431;11,1;15,9;39,7;0,826
C127x64;14,9;127;63,5;6,4;9,2;10,7;2,4;28,5;84;95;1,9;40,2;19,4;4,83;76,1;50,4;0,672;15,2;18,8;47,2;1,49
C140x60;16,2;140;60;7;10;10;5;30;100;94,57;2,04;36,4;17,6;6,05;86,4;54,5;0,625;14,7;17,5;54,8;1,64
C152x76;17,9;152,4;76,2;6,4;9;12,2;2,4;34,9;106;95;2,28;47,8;22,1;8,51;111,7;61,1;1,14;21;22,3;56,9;3,62
C160x65;19,1;160;65;7,5;10,5;10,5;5,5;32,5;118;94,57;2,4;38,5;18,4;9,25;115,6;62,1;0,851;18,3;18,8;71,2;2,95
C178x54;14,5;177,8;54;5,8;8,3;8,3;3,2;24,1;143;92;1,85;29,3;14,2;8,6;96,7;68,1;0,461;11,6;15,8;32,8;2,29
C180x70;22,3;180;70;8;11;11;5,5;35;136;94,57;2,8;40,6;19,3;13,5;150;69,9;1,14;22,4;20,1;91,1;5,06
C200x75;25,3;200;75;8,5;11,5;11,5;6;37,5;154;94,57;3,22;42,7;20,1;19,1;191;77,1;1,48;26,9;21,4;115;8,19
